target,location,location_name,truth_date,year_week,value,source,file_kind,snapshot_date,file_path
ARI incidence,BE,Belgium,2015-03-01,2015-W09,2026.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-03-08,2015-W10,1756.6,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-03-15,2015-W11,1768.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-03-22,2015-W12,1871.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-03-29,2015-W13,1841.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-04-05,2015-W14,1818.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-04-12,2015-W15,1320.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-04-19,2015-W16,1256.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-04-26,2015-W17,1302.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-05-03,2015-W18,982.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-05-10,2015-W19,1231.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-05-17,2015-W20,1092.4,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-05-24,2015-W21,1352.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-05-31,2015-W22,1182.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-06-07,2015-W23,1205.2,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-06-14,2015-W24,1097.8,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
