,stage1_l2,stage2_wis,n_features,n_rows,stage1_l2_pct_vs_no_gt,stage2_wis_pct_vs_no_gt
no_gt,0.441678384580912,113.14502180026841,100.0,33869.0,0.0,0.0
gt_proc,0.4196756666506804,119.38827664621188,270.0,33869.0,-4.981615288035653,5.517922703629421
gt_raw,0.4269849868266477,115.74954196792365,270.0,33869.0,-3.3267187771043387,2.3019308549455415
