date,location,avian influenza,cluster_1,cold medicine,common cold,cough,dyspnea,fever,headache,influenza,influenza vaccine,nasal congestion,nausea,paracetamol,runny nose,sore throat,throat lozenge,virus
2014-10-05,AT,,450.2018027284804,242.82090429578776,1596.0378810165196,1735.6001129131876,319.416826150064,1928.8144414838653,1680.011281235088,908.855899552098,,155.38549074618362,1277.0179158434723,755.0940373419213,,962.2218375037478,,3748.421225766757
2014-10-05,BE,,444.7280231415288,81.67486137501187,979.7324371481044,985.032481730292,160.94409648962784,1350.501263921639,1272.9418146107932,912.0045920441815,,191.0751690022351,1054.581280915293,808.9152492476745,122.03288010352856,582.7977115068682,0.0,3461.49577766225
2014-10-05,BG,,255.680723423673,,1007.323450867358,2835.028980970405,169.04145187565942,,693.1984762578787,1025.297189779512,,,634.2218628865526,716.0323573830451,1881.46628847746,352.94395462949666,,3096.1087851254047
2014-10-05,CH,,296.4082115782236,106.44504387874532,1232.3943740438851,1270.8261790332388,249.06686401608167,1626.6139114949171,1840.2249603725252,1174.7287951032067,,134.7826176353181,1419.2861658117383,953.5605382443764,0.0,610.8098186208907,,3544.1949387916725
2014-10-05,CY,,1057.7445704505458,,972.3449604845268,1526.60565121625,,1820.7530784264843,1903.200538538156,0.0,,,741.6200871438142,1.4820854428145136,,0.0,,5146.727053254661
2014-10-05,CZ,,275.753863902848,,1248.39050898018,538.0225006409282,180.618452103388,1204.7425622417968,1141.7681183575864,1550.6328139808834,,0.0,722.6301716059484,970.1073889191408,,622.9881904975676,,1549.064595529044
2014-10-05,DE,21.71693441300944,0.0,234.9053285594539,2477.30248083005,1954.938425676129,337.2076292515865,1764.8834953930982,1768.2118117585874,935.6828862266868,405.41535772538913,132.63655152228134,1659.7917862664149,516.373042576003,50.8672572666306,1013.8256543405788,39.69402364457051,3575.821938309945
2014-10-05,DK,,523.839374688264,140.90144817252624,1293.798217554392,492.8900574610495,123.58904381735164,1613.428560493487,1412.7700950051849,1466.818047888176,,119.85538910384236,1203.6766377815309,960.0400670294864,,558.645218665483,,3175.116930026219
2014-10-05,EE,,1492.6853640349202,,1484.0792148820694,1392.33544296708,,2296.661376947486,1117.2965572093938,772.8040881601542,,,,0.0,,,,8046.876137736504
2014-10-05,ES,155.2768911596347,22.651148542661137,46.6376100548122,1387.4341133921475,1123.813378598432,153.85633214067266,2172.312512201646,1249.566143901732,1869.1557984491185,270.8731046332015,162.17348558367618,506.01554219153394,1595.022859395025,36.67155406953933,431.3660380876133,,7024.709280968099
2014-10-05,FI,,664.9488705499559,221.6946162333835,2144.747624117184,874.1396572675064,383.86189145212256,2518.26223095514,1480.2784363704716,545.403197727139,,,729.218280451551,1322.6533256384696,,,,2611.781380600584
2014-10-05,FR,60.66551062774997,,27.17648144302967,1099.6070146306038,1348.2703658588982,137.70454856447168,1306.303153310645,1209.4230844122737,915.1994883586888,209.62776021164683,193.3961886801364,638.5847225998762,1474.5954066926788,152.21111788507804,457.48803669922574,19.541286109946512,4059.974074781452
2014-10-05,GB-ENG,79.93402034660765,22.131203379413904,168.72417741966007,3030.017411788948,2219.139540679662,228.51411145931084,920.7310542726192,2694.770244647389,3617.1871169416,1703.365687626288,341.8844968307586,745.435090876841,1624.8591005563956,170.94342908281516,866.2595839742947,62.069719528172925,7011.514274632492
2014-10-05,GB-NIR,,2248.712014452733,,2871.2928925491447,1894.947225884744,0.0,711.8733748846548,2793.0990172765323,3806.2306441090864,,0.0,1044.885654687853,1201.7026402816182,,888.4316026300788,,6214.796592126939
2014-10-05,GB-SCT,,0.0,123.69163730572166,2477.660827341228,1990.9308280761093,265.7972115585882,864.782133455103,1772.5380328357137,3569.2849142246696,1926.8097081047872,334.20469058318525,679.2062013078556,1667.613154331209,165.53438205993456,1020.252500690832,,6329.1465478122345
2014-10-05,GB-WLS,,2294.5736194503675,,3215.518461905707,2173.9656700967585,0.0,883.1803144390665,2750.9813510783847,3966.047846044776,,300.80722461383067,945.8700768318153,1815.2683286996241,0.0,704.7123815237553,,7021.705891302557
2014-10-05,GR,,332.9053889836508,,717.2536582216312,1087.9279529392063,157.37237642906186,1570.3069189926912,936.1698816113128,742.6198021846329,,99.59099962196048,0.0,1073.6072718812943,,292.67925621346814,,3826.189402676859
2014-10-05,HR,,395.8523154158851,,1280.6533329389752,2394.8682432650435,,559.4373029285407,1826.210426619033,624.0020153315909,,,1164.9461501710146,431.8038000887856,,475.8112155921576,,2680.489825717837
2014-10-05,HU,,204.4331350796144,,1269.5748907828593,1358.9379583957216,256.8531783736896,440.085314566977,1437.9062090142004,394.8231211868037,,233.70783397210488,1000.3669336788544,460.3286260469722,101.50333012853793,584.0395241295626,,2936.93259384076
2014-10-05,IE,,810.7158824786184,169.91471233620956,2040.6248334878976,2105.360842128849,320.3177027473207,870.1208301000111,1874.9870614862552,2140.3829814970345,,374.03816185040614,,1635.2745087302085,206.17358313762787,752.7466563921887,,5971.175586179
2014-10-05,IS,,6911.623502851491,,,,,,,,,,,,,,,5760.120694486113
2014-10-05,IT,47.05117378265817,0.0,0.0,2199.443020841112,1617.5591613361732,131.79909474474755,2064.288795167275,1934.5946903848144,917.069860174268,93.39753032952032,78.35985415533789,1086.3094151547841,1291.135030775284,26.23450090656374,,,4208.160055196824
2014-10-05,LT,,1672.3679089365037,,1179.948151260982,1488.2759228905556,,377.1873819236297,690.1949070030025,1096.0826128595052,,,463.3849313198431,670.7281295175378,,,,8466.673194921257
2014-10-05,LU,,2461.360178216816,,1426.2452006662677,1669.123261555569,,2428.0445496595325,1418.835947955488,,,,0.0,0.0,,,,5011.627609391475
2014-10-05,LV,,1284.0207552481686,,1161.028663890479,2151.1935366619805,,2.1002558020342263,837.8568490429736,0.0,,,804.9484875856632,754.1435527349689,,,,5991.876183336184
