date,location,avian influenza,cluster_all,cold medicine,common cold,cough,dyspnea,fever,headache,influenza,influenza vaccine,nasal congestion,nausea,paracetamol,runny nose,sore throat,throat lozenge,virus
2014-10-05,AT,,445.41943778570464,248.43673297655602,1626.899177794858,1696.527019139365,342.33185579704025,1991.322474234866,1668.6566121759604,974.777554291343,,154.86000502447638,1279.498223869243,764.5196453716321,,938.1513761331124,,3742.921606493338
2014-10-05,BE,,362.41882277428226,53.65557777199718,931.8057105774777,947.0114575504966,134.55863444579626,1329.4585186835689,1346.065251527489,943.477368951173,,163.21955459574153,1017.7065968013504,834.124499423906,118.20514404653107,546.1279059960378,0.0,3429.9667310664386
2014-10-05,BG,,193.3444177645606,,1220.8397720965077,2783.5038759677454,146.23015828877803,137.69199803706886,963.394221066834,1187.1175861297602,,,587.3605444696981,750.3602917147136,1672.5600466475962,326.99033134799134,,3082.1013535997226
2014-10-05,CH,,362.4010928049416,104.00564278826431,1252.054687339345,1268.1463990688096,251.73399790127186,1643.081737589474,1831.4179232976264,1200.1082934650506,,176.45564745221324,1299.9195481266656,972.9074787594716,3.055955407148316,591.4500858704905,,3578.876017383018
2014-10-05,CY,,816.3716854889369,,1175.1506880437369,1371.4398073547459,,1430.3570861881701,2224.456608739061,0.0,,,0.0,972.5915295916894,,0.0,,4904.170288408456
2014-10-05,CZ,,270.9202967640045,,1243.3049716354274,522.7724961536991,217.94558183277826,1120.5885145065756,1479.3681621432079,1588.5871455658955,,86.21073417014101,684.1042942568052,948.0107053907204,,718.4623410796564,,1611.795189117979
2014-10-05,DE,23.811948713939092,0.0,241.26609432067508,2514.85213292745,1809.799271717692,345.05419688938315,1777.9511214595243,1736.511295931054,922.7302704741412,402.3852341926394,133.17055452414792,1657.099818867857,523.1291881389006,50.03207277795818,1030.2998887734004,49.3504580882148,3362.5884281269227
2014-10-05,DK,,543.5638890121506,137.8801047463334,1153.9630811439938,535.3366638468028,65.98388200526242,1635.6947304987154,1346.4237517642623,1462.5738148974767,,134.91990402553031,1186.8382593715628,809.9558597783547,,520.5579380434377,,3228.218170664638
2014-10-05,EE,,1630.9528320964596,,1156.1251375550562,1332.1155579211604,,2025.577720511611,1078.1881762309406,625.5528173835831,,,161.06954093438787,921.2926299144705,,,,7807.672743983887
2014-10-05,ES,125.37245258665911,0.0,54.50527093090725,1373.5394829554027,1123.4063506596601,142.57866832498863,2055.168877409399,1234.744527200665,1860.535040163201,277.6946737306643,160.7137130912075,529.5566749331322,1566.107311051234,23.198179936314258,423.54105332249986,,6652.406413746365
2014-10-05,FI,,660.5339776731172,233.9052593278821,2090.7336688301816,962.224780745119,318.46320105517987,2521.6116753574784,1512.5990447978427,571.2517362392168,,,730.8382338744796,1341.1179270246594,,-49.59879525698284,,2659.321583373626
2014-10-05,FR,54.377277833563475,,28.608127508115107,1098.9853484685532,1365.557503720971,126.2626875869886,1300.6503738615388,1000.1304998956649,914.5640901161058,198.71898854519802,198.56121107440345,642.7734393909435,1436.6068582931266,157.13245905082442,460.7800279331348,17.098688603742577,4099.930336117297
2014-10-05,GB-ENG,72.46477937381037,18.6494026725442,164.06719758630405,2921.4939674604047,2120.200368322756,227.27629332619276,908.6716302965881,2655.467649248245,3647.935153111017,1766.266337853118,334.99765279586126,-24.865244134001273,1659.2369387241274,170.94713443814948,865.0925119535873,20.96676333724878,6890.436130412328
2014-10-05,GB-NIR,,2105.213913527716,,2665.2781374464344,1787.2495607274545,0.0,670.6079622202955,2739.521885200393,3408.5941088895934,,355.8253174128589,28.601253085877715,1540.9739614090959,,658.3567792903652,,5899.786290918994
2014-10-05,GB-SCT,,1939.028337651476,166.55529133321468,2377.135081804229,1982.1674561650968,333.4568094840761,923.5765923195402,2243.2377389841245,3542.621705922773,,342.063430795263,713.858655696997,1482.6942893773794,170.31327051577165,903.788671240093,,6483.171103368759
2014-10-05,GB-WLS,,2281.552934033311,,3015.9582540425004,2251.1310049018025,0.0,842.4876951083634,2216.472125304161,4252.909441655227,,87.89186980707349,930.2747716507313,1779.258690922767,0.0,767.9735547997941,,7063.740931230245
2014-10-05,GR,,331.5079243605405,,704.6137609447255,1081.2589155033784,113.57488337000046,1590.8612638331474,872.3591239507195,768.4725475596638,,110.52392461303641,51.30107724894918,1233.288763013998,,329.93115626154963,,3778.900039708752
2014-10-05,HR,,408.50128580162647,,1272.274495600665,2269.3550948573716,,519.6256982174984,1625.095893321146,636.7636167619657,,,1083.3275001461561,492.2791662539774,,683.0038627475694,,2709.868802616197
